fid,BEZIRKSNAME,BEZIRKSREGION,PROGNOSERAUM,DATUM_GUELTIG_AB,FLAECHENGROESSE_IN_M2
lor_planungsraeume.0,Treptow-Köpenick,Schmöckwitz/Karolinenhof/Rauchfangswerder,Treptow-Köpenick 3,26.10.2007,17118169.22076
lor_planungsraeume.1,Tempelhof-Schöneberg,Lichtenrade,Lichtenrade,26.10.2007,10045345.23169
lor_planungsraeume.2,Treptow-Köpenick,Grünau,Treptow-Köpenick 3,26.10.2007,9167243.87555
lor_planungsraeume.3,Treptow-Köpenick,Müggelheim,Treptow-Köpenick 4,26.10.2007,22184511.65545
lor_planungsraeume.4,Treptow-Köpenick,Bohnsdorf,Treptow-Köpenick 3,26.10.2007,6659446.61355
lor_planungsraeume.5,Neukölln,Rudow,Buckow Nord/Rudow,26.10.2007,12038077.84582
lor_planungsraeume.6,Treptow-Köpenick,Altglienicke,Treptow-Köpenick 3,26.10.2007,7730807.503
lor_planungsraeume.7,Treptow-Köpenick,Köpenick Süd,Treptow-Köpenick 4,01.01.2019,17989264.13135
lor_planungsraeume.8,Neukölln,Buckow,Britz/Buckow,26.10.2007,4595266.13194
lor_planungsraeume.9,Treptow-Köpenick,Rahnsdorf/Hessenwinkel,Treptow-Köpenick 5,26.10.2007,21438450.48312
lor_planungsraeume.10,Neukölln,Gropiusstadt,Gropiusstadt,26.10.2007,2656239.68792
lor_planungsraeume.11,Neukölln,Britz,Britz/Buckow,26.10.2007,12520120.89548
lor_planungsraeume.12,Treptow-Köpenick,Adlershof,Treptow-Köpenick 2,26.10.2007,6157262.75729
lor_planungsraeume.13,Treptow-Köpenick,Köllnische Vorstadt/Spindlersfeld,Treptow-Köpenick 2,26.10.2007,2126607.73583
lor_planungsraeume.14,Treptow-Köpenick,Johannisthal,Treptow-Köpenick 1,26.10.2007,6477604.36471
lor_planungsraeume.15,Treptow-Köpenick,Allende-Viertel,Treptow-Köpenick 4,01.01.2019,3443611.4651
lor_planungsraeume.16,Neukölln,Buckow Nord,Buckow Nord/Rudow,26.10.2007,1400503.29048
lor_planungsraeume.17,Treptow-Köpenick,Friedrichshagen,Treptow-Köpenick 5,26.10.2007,14034663.0484
lor_planungsraeume.18,Treptow-Köpenick,Altstadt Kietz,Treptow-Köpenick 4,26.10.2007,832398.77579
lor_planungsraeume.19,Treptow-Köpenick,Baumschulenweg,Treptow-Köpenick 1,26.10.2007,4832574.12249
lor_planungsraeume.20,Treptow-Köpenick,Niederschöneweide,Treptow-Köpenick 2,26.10.2007,3495527.90207
lor_planungsraeume.21,Treptow-Köpenick,Dammvorstadt,Treptow-Köpenick 5,26.10.2007,2783293.87239
lor_planungsraeume.22,Treptow-Köpenick,Oberschöneweide,Treptow-Köpenick 2,26.10.2007,7927166.94395
