BEZIRKSNAME,PLANUNGSRAUM,BEZIRKSREGION,PROGNOSERAUM,DATUM_GUELTIG_AB,FLAECHENGROESSE_IN_M2
Marzahn-Hellersdorf,Alt-Marzahn,Marzahn Süd,Marzahn,14.06.2006,2238368.26
Marzahn-Hellersdorf,Marzahn West,Marzahn Nord,Marzahn,14.06.2006,694985.47
Marzahn-Hellersdorf,Ringkolonnaden,Marzahn Mitte,Marzahn,14.06.2006,1486009.41
Marzahn-Hellersdorf,Wuhletalstraße,Marzahn Mitte,Marzahn,14.06.2006,845563.37
Marzahn-Hellersdorf,Havemannstraße,Marzahn Nord,Marzahn,14.06.2006,1898742.52
Marzahn-Hellersdorf,Landsberger Tor,Marzahn Süd,Marzahn,14.06.2006,1608201.44
Marzahn-Hellersdorf,Marzahn Ost,Marzahn Mitte,Marzahn,14.06.2006,1098556.14
Marzahn-Hellersdorf,Gut Hellersdorf,Hellersdorf Nord,Hellersdorf,14.06.2006,1618142.04
Marzahn-Hellersdorf,Alte Hellersdorfer Straße,Hellersdorf Nord,Hellersdorf,14.06.2006,445221.41
Marzahn-Hellersdorf,Boulevard Kastanienallee,Hellersdorf Ost,Hellersdorf,14.06.2006,526202.95
Marzahn-Hellersdorf,Helle Mitte,Hellersdorf Nord,Hellersdorf,14.06.2006,163703.72
Marzahn-Hellersdorf,Hellersdorfer Promenade,Hellersdorf Nord,Hellersdorf,14.06.2006,451604.89
Marzahn-Hellersdorf,Adele-Sandrock-Straße,Hellersdorf Ost,Hellersdorf,14.06.2006,1110636.67
Marzahn-Hellersdorf,Böhlener Straße,Hellersdorf Nord,Hellersdorf,14.06.2006,919160.94
Treptow-Köpenick,Schmöckwitz/Rauchfangswerder,Schmöckwitz/Karolinenhof/Rauchfangswerder,Treptow-Köpenick 3,14.06.2006,14762023.26
Treptow-Köpenick,Grünau,Grünau,Treptow-Köpenick 3,14.06.2006,9167272.65
Treptow-Köpenick,Müggelheim,Müggelheim,Treptow-Köpenick 4,14.06.2006,22184659.33
Treptow-Köpenick,Karolinenhof,Schmöckwitz/Karolinenhof/Rauchfangswerder,Treptow-Köpenick 3,14.06.2006,2355967.51
Treptow-Köpenick,Bohnsdorf,Bohnsdorf,Treptow-Köpenick 3,14.06.2006,6659431.47
Neukölln,Waßmannsdorfer Chaussee,Rudow,Buckow Nord/Rudow,14.06.2006,2775322.71
Treptow-Köpenick,Kölner Viertel,Altglienicke,Treptow-Köpenick 3,14.06.2006,1572124.35
Treptow-Köpenick,Wohngebiet II,Altglienicke,Treptow-Köpenick 3,14.06.2006,380790.09
Neukölln,Frauenviertel,Rudow,Buckow Nord/Rudow,14.06.2006,471744.12
Treptow-Köpenick,Kietzer Feld/Nachtheide,Köpenick Süd,Treptow-Köpenick 4,01.01.2019,17013466.88
Treptow-Köpenick,Dorf Altglienicke,Altglienicke,Treptow-Köpenick 3,14.06.2006,5777965.05
Neukölln,Waltersdorfer Chaussee Ost,Rudow,Buckow Nord/Rudow,14.06.2006,2243920.47
Treptow-Köpenick,Wendenschloß,Köpenick Süd,Treptow-Köpenick 4,14.06.2006,965379.81
Treptow-Köpenick,Rahnsdorf/Hessenwinkel,Rahnsdorf/Hessenwinkel,Treptow-Köpenick 5,14.06.2006,21438668.76
Neukölln,Alt-Rudow,Rudow,Buckow Nord/Rudow,14.06.2006,2506644.96
Treptow-Köpenick,Adlershof West,Adlershof,Treptow-Köpenick 2,14.06.2006,2670775.83
Treptow-Köpenick,Adlershof Ost,Adlershof,Treptow-Köpenick 2,14.06.2006,3486440.87
Treptow-Köpenick,Köllnische Vorstadt,Köllnische Vorstadt/Spindlersfeld,Treptow-Köpenick 2,14.06.2006,1554713.4
Treptow-Köpenick,Johannisthal Ost,Johannisthal,Treptow-Köpenick 1,14.06.2006,3233155.04
Treptow-Köpenick,Allende II,Allende-Viertel,Treptow-Köpenick 4,01.01.2019,1990547.96
Treptow-Köpenick,Johannisthal West,Johannisthal,Treptow-Köpenick 1,14.06.2006,3244549.68
Treptow-Köpenick,Bölschestraße,Friedrichshagen,Treptow-Köpenick 5,14.06.2006,12225582.56
Treptow-Köpenick,Altstadt Kietz,Altstadt Kietz,Treptow-Köpenick 4,01.01.2019,796889.28
Treptow-Köpenick,Allende I,Allende-Viertel,Treptow-Köpenick 4,01.01.2019,513085.73
Treptow-Köpenick,Siedlung Kämmereiheide,Allende-Viertel,Treptow-Köpenick 4,01.01.2019,937898.23
Treptow-Köpenick,Oberspree,Niederschöneweide,Treptow-Köpenick 2,14.06.2006,1589839.33
Treptow-Köpenick,Hirschgarten,Friedrichshagen,Treptow-Köpenick 5,14.06.2006,1808686.86
Treptow-Köpenick,Dammvorstadt,Dammvorstadt,Treptow-Köpenick 5,14.06.2006,2783283.23
Treptow-Köpenick,Spindlersfeld,Köllnische Vorstadt/Spindlersfeld,Treptow-Köpenick 2,14.06.2006,571861
Treptow-Köpenick,Schnellerstraße,Niederschöneweide,Treptow-Köpenick 2,14.06.2006,1905633.94
Treptow-Köpenick,Oberschöneweide Ost,Oberschöneweide,Treptow-Köpenick 2,14.06.2006,5602428.09
Treptow-Köpenick,Köpenick Nord,Köpenick Nord,Treptow-Köpenick 5,14.06.2006,7966656.53
Treptow-Köpenick,Oberschöneweide West,Oberschöneweide,Treptow-Köpenick 2,14.06.2006,2324756.3
Lichtenberg,Karlshorst Süd,Karlshorst,Lichtenberg Süd,14.06.2006,2295450.03
